id,location,regiongroup
N11,HeadNeck,HeadNeck
N14,HeadNeck,HeadNeck
N1,HeadNeck,HeadNeck
N27,HeadNeck,HeadNeck
N3,HeadNeck,HeadNeck
N8,HeadNeck,HeadNeck
CDJIE,HeadNeck,HeadNeck
DHZ,HeadNeck,HeadNeck
JMY,HeadNeck,HeadNeck
LMENG,HeadNeck,HeadNeck
LSL,HeadNeck,HeadNeck
SGH,HeadNeck,HeadNeck
WHRU,HeadNeck,HeadNeck
WSY,HeadNeck,HeadNeck
WZHONG,HeadNeck,HeadNeck
YQF,HeadNeck,HeadNeck
ZBO,HeadNeck,HeadNeck
ZHY,HeadNeck,HeadNeck
ZYX,HeadNeck,HeadNeck
CYC,HeadNeck,HeadNeck
TXP,HeadNeck,HeadNeck
XY,HeadNeck,HeadNeck
YC1,HeadNeck,HeadNeck
DYF,HeadNeck,HeadNeck
LFEI,HeadNeck,HeadNeck
SXH,HeadNeck,HeadNeck
HXJ,HeadNeck,HeadNeck
PYX,HeadNeck,HeadNeck
ZJH,HeadNeck,HeadNeck
ZLJ_1,HeadNeck,HeadNeck
CYUAN,HeadNeck,HeadNeck
HBC,HeadNeck,HeadNeck
HYING,HeadNeck,HeadNeck
LHANG,HeadNeck,HeadNeck
LIUJING,HeadNeck,HeadNeck
LXW_2,HeadNeck,HeadNeck
ZHR,HeadNeck,HeadNeck
GQL,HeadNeck,HeadNeck
CCHAO,HeadNeck,HeadNeck
CQH,HeadNeck,HeadNeck
DZH,HeadNeck,HeadNeck
LDD,HeadNeck,HeadNeck
SWEI,HeadNeck,HeadNeck
SYU,HeadNeck,HeadNeck
XHUI,HeadNeck,HeadNeck
XYANG,HeadNeck,HeadNeck
XZX,HeadNeck,HeadNeck
YJING,HeadNeck,HeadNeck
ZQI,HeadNeck,HeadNeck
ZWP,HeadNeck,HeadNeck
N15,Trunk,Extremities
N7,Trunk,Extremities
LCONG,Trunk,Extremities
ZYH,Trunk,Extremities
LFG,Trunk,Extremities
LTM,Trunk,Extremities
FXQ,Trunk,Extremities
LXB,Trunk,Extremities
CXL,Trunk,Extremities
WYG_1,Trunk,Extremities
WYG_3,Trunk,Extremities
LXI,Trunk,Extremities
LXW_1,Trunk,Extremities
TBL,Trunk,Extremities
JGZ,Trunk,Extremities
WTING,Trunk,Extremities
ZLR_1,Trunk,Extremities
N16,Extremities,Extremities
N24,Extremities,Extremities
GHONG,Extremities,Extremities
LGFANG,Extremities,Extremities
XXHONG,Extremities,Extremities
ZYAO,Extremities,Extremities
HCX,Extremities,Extremities
ZZS,Extremities,Extremities
CT,Extremities,Extremities
DBL_E,Extremities,Extremities
CQY,Extremities,Extremities
LZY,Extremities,Extremities
TMY,Extremities,Extremities
HSY,Extremities,Extremities
KHL,Extremities,Extremities
PWEN,Extremities,Extremities
YJH,Extremities,Extremities
CHP,Extremities,Extremities
CX,Extremities,Extremities
SLH,Extremities,Extremities
ZDY,Extremities,Extremities
LDX,Extremities,Extremities
SYC,Extremities,Extremities
AYT,Extremities,Extremities
CYF,Extremities,Extremities
ZXX,Extremities,Extremities
LLY,Palm,PalmSole
WL,Palm,PalmSole
YYANG,Palm,PalmSole
LSHUAI,Palm,PalmSole
N19,Sole,PalmSole
JBY,Sole,PalmSole
YFY,Sole,PalmSole
JBY_2,Sole,PalmSole
LXD,Sole,PalmSole
LYH,Sole,PalmSole
FNX_2,Sole,PalmSole
LJY,Sole,PalmSole
SMZ,Sole,PalmSole
WSN,Sole,PalmSole
ZYJ_E,Sole,PalmSole
GYC,Sole,PalmSole
LYX,Sole,PalmSole
WJING,Sole,PalmSole
WMY,Sole,PalmSole
WSB,Sole,PalmSole
WSL,Sole,PalmSole
WY1,Sole,PalmSole
WY2,Sole,PalmSole
ZBY,Sole,PalmSole
ZYAN_1,Sole,PalmSole
ZYANG,Sole,PalmSole
ZYUE,Sole,PalmSole
CCHAO_1,Sole,PalmSole
CCHAO_2,Sole,PalmSole
LFENG,Sole,PalmSole
ZLI,Sole,PalmSole
ZYAN_2,Sole,PalmSole
HXIAO,Sole,PalmSole
JLJ,Sole,PalmSole
LFL,Sole,PalmSole
LPP,Sole,PalmSole
LRH,Sole,PalmSole
WYU,Sole,PalmSole
WYY,Sole,PalmSole
XJING,Sole,PalmSole
YRX_1,Sole,PalmSole
YRX_2,Sole,PalmSole
ZPY,Sole,PalmSole
CXS,Sole,PalmSole
GYJ_1,Sole,PalmSole
GYJ_2,Sole,PalmSole
WCM,Sole,PalmSole
WXI,Sole,PalmSole
YWH,Sole,PalmSole
ZX,Perineum,Perineum
YLEI,Perineum,Perineum
CXJ,Perineum,Perineum
ZFU,Perineum,Perineum
RNA17,Perineum,Perineum
RNA1,Perineum,Perineum
RNA27,Perineum,Perineum
RNA31,Perineum,Perineum
RNA33,Perineum,Perineum
RNA34,Perineum,Perineum
RNA39,Perineum,Perineum
RNA41,Perineum,Perineum
RNA42,Perineum,Perineum
RNA46,Perineum,Perineum
RNA49,Perineum,Perineum
RNA6,Perineum,Perineum
RNA8,Perineum,Perineum
